1분위	a	b	c	d	e	f	g
19	-0.0000000038276144 	0.0000012128676471 	-0.0001403165849672 	0.0068294190490833 	-0.1076453060010530 	0.7751957699149370 	-0.0258124228703309 
20	-0.0000000039256536 	0.0000012284973605 	-0.0001407341943187 	0.0068382314376750 	-0.1102658719547040 	0.7850467571629590 	-0.0687782805424604 
21	-0.0000000058684641 	0.0000017959558824 	-0.0002003070952739 	0.0094490740264580 	-0.1498968049269350 	0.8918745029462560 	0.1042163718641400 
22	-0.0000000040816993 	0.0000012498303167 	-0.0001386829436902 	0.0063578851295721 	-0.0859300083412126 	0.5292648087194130 	0.0394282188404986 
23	-0.0000000032050654 	0.0000010187311463 	-0.0001180245412267 	0.0057097315062352 	-0.0851405877781320 	0.6176945358552060 	0.0169683257923907 
24	-0.0000000049665033 	0.0000015151112368 	-0.0001693240635997 	0.0080855233614371 	-0.1331723300880610 	0.9375838818028580 	0.0301316330740065 
25	-0.0000000057026144 	0.0000017707202112 	-0.0002001322900954 	0.0095512212052586 	-0.1545523281455240 	1.0289230426416600 	-0.0474907445486679 
26	-0.0000000062696078 	0.0000020119720965 	-0.0002384104449471 	0.0122915526874993 	-0.2363044453583090 	1.6254132044400000 	-0.1941176470572830 
3분위	a	b	c	d	e	f	g
1	0.0000000040514706 	-0.0000011764988688 	0.0001213879147812 	-0.0053870933600664 	0.1114450665019910 	-0.5289886535019770 	0.1320238584941080 
2	0.0000000036650327 	-0.0000010924585219 	0.0001176092257415 	-0.0055940302344674 	0.1250100782712900 	-0.5745317084864050 	0.0270053475928762 
3	0.0000000047834967 	-0.0000014057220965 	0.0001485188851180 	-0.0068767872446119 	0.1488395813335300 	-0.9010046962823740 	0.2077540106942020 
4	0.0000000039468954 	-0.0000010964083710 	0.0001065963109602 	-0.0043493174105272 	0.0838604022120681 	-0.3161508638409760 	-0.0382352941180670 
5	0.0000000053864379 	-0.0000015811557315 	0.0001670318941678 	-0.0077170287433093 	0.1626261012841650 	-0.8748165021235350 	0.1256478815294030 
6	0.0000000063766340 	-0.0000018512914781 	0.0001929692998993 	-0.0087511402200665 	0.1798627713787410 	-1.0833424173843900 	0.1806869600982280 
7	0.0000000043692810 	-0.0000012421945701 	0.0001253213926596 	-0.0054019933497836 	0.1059110868868580 	-0.3648443713137620 	-0.0360756890175935 
8	0.0000000044885621 	-0.0000013026583710 	0.0001350306058320 	-0.0060632087275418 	0.1267063113029330 	-0.6913670643067560 	0.1292472233637910 
9	0.0000000015220588 	-0.0000004506881599 	0.0000464084653092 	-0.0020374027320700 	0.0486962364595688 	-0.0580471685172365 	0.0527354997939256 
10	0.0000000049730392 	-0.0000015183540724 	0.0001686499811462 	-0.0083250201391675 	0.1881482291236250 	-1.1139057658008600 	0.2359728506772850 
11	0.0000000047181373 	-0.0000013870757919 	0.0001469744532427 	-0.0068267058309280 	0.1460384872478880 	-0.7867258329888980 	0.1253805018501450 
12	0.0000000064452614 	-0.0000019417515083 	0.0002139523315735 	-0.0105478202557159 	0.2364382368935860 	-1.3995456259402300 	0.2527560674602680 
13	0.0000000036013072 	-0.0000010278280543 	0.0001036767219708 	-0.0044754867681298 	0.0930848791077094 	-0.4623289455630860 	0.0823118058406180 
14	0.0000000042720588 	-0.0000012522907240 	0.0001321232088989 	-0.0061258788392926 	0.1336406187438550 	-0.7218758398449180 	0.1296585767164520 
15	0.0000000053415033 	-0.0000016082202112 	0.0001771910507792 	-0.0087600353078228 	0.1989276855658840 	-1.0788064925251600 	0.1537844508417270 
16	0.0000000032745098 	-0.0000009615196078 	0.0001011148190045 	-0.0046860354106635 	0.1075773690524010 	-0.6075768202373980 	0.1207939119697130 
17	0.0000000029330065 	-0.0000008382352941 	0.0000843244092508 	-0.0036480717811568 	0.0806295494537239 	-0.4142662484564860 	0.0617647058818420 
18	0.0000000056633987 	-0.0000016419683258 	0.0001702505027651 	-0.0076080779514544 	0.1518098418573240 	-0.7874212258312500 	0.0316330728077219 
19	0.0000000035433007 	-0.0000010551376320 	0.0001125398127199 	-0.0052451378890678 	0.1158424450385110 	-0.5932538392967910 	0.0527149321267188 
20	0.0000000039607843 	-0.0000011270173454 	0.0001141182126696 	-0.0050086924105265 	0.1057140172081670 	-0.5087569244468920 	0.0435828877000404 
